method,seed,outer_fold,params,inner_mrr
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4631
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4432
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4165
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4631
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4138
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3590
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4339
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4424
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4533
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4309
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4368
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4308
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4351
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4375
A6_gbm_fusion,2,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.3707
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4472
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4419
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4270
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4503
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4064
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.3745
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4477
A6_gbm_fusion,2,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.3795
